"nparticles","tvals","V1","V2","V3","V4","V5","V6","V7","V8"
1,0.0364470614111617,1,0,0,0,0,0,0,0
1,0.109341184233485,1,0,0,0,0,0,0,0
1,0.182235307055808,1,0,0,0,0,0,0,0
1,0.255129429878132,1,0,0,0,0,0,0,0
1,0.328023552700455,1,0,0,0,0,0,0,0
1,0.400917675522779,1,0,0,0,0,0,0,0
1,0.473811798345102,1,0,0,0,0,0,0,0
1,0.546705921167425,1,0,0,0,0,0,0,0
1,0.619600043989749,1,0,0,0,0,0,0,0
1,0.692494166812072,1,0,0,0,0,0,0,0
1,0.765388289634395,1,0,0,0,0,0,0,0
1,0.838282412456719,1,0,0,0,0,0,0,0
1,0.911176535279042,1,0,0,0,0,0,0,0
1,0.984070658101366,1,0,0,0,0,0,0,0
1,1.05696478092369,1,0,0,0,0,0,0,0
1,1.12985890374601,1,0,0,0,0,0,0,0
1,1.20275302656834,1,0,0,0,0,0,0,0
1,1.27564714939066,1,0,0,0,0,0,0,0
1,1.34854127221298,1,0,0,0,0,0,0,0
1,1.42143539503531,1,0,0,0,0,0,0,0
1,1.49432951785763,1,0,0,0,0,0,0,0
1,1.56722364067995,1,0,0,0,0,0,0,0
1,1.64011776350228,1,0,0,0,0,0,0,0
1,1.7130118863246,1,0,0,0,0,0,0,0
1,1.78590600914692,1,0,0,0,0,0,0,0
1,1.85880013196925,1,0,0,0,0,0,0,0
1,1.93169425479157,1,0,0,0,0,0,0,0
1,2.00458837761389,1,0,0,0,0,0,0,0
1,2.07748250043622,1,0,0,0,0,0,0,0
1,2.15037662325854,1,0,0,0,0,0,0,0
1,2.22327074608086,1,0,0,0,0,0,0,0
1,2.29616486890319,1,0,0,0,0,0,0,0
1,2.36905899172551,1,0,0,0,0,0,0,0
1,2.44195311454783,1,0,0,0,0,0,0,0
1,2.51484723737016,1,0,0,0,0,0,0,0
1,2.58774136019248,1,0,0,0,0,0,0,0
1,2.6606354830148,1,0,0,0,0,0,0,0
1,2.73352960583713,1,0,0,0,0,0,0,0
1,2.80642372865945,1,0,0,0,0,0,0,0
1,2.87931785148177,1,0,0,0,0,0,0,0
1,2.9522119743041,1,0,0,0,0,0,0,0
1,3.02510609712642,1,0,0,0,0,0,0,0
1,3.09800021994874,1,0,0,0,0,0,0,0
1,3.17089434277107,1,0,0,0,0,0,0,0
1,3.24378846559339,1,0,0,0,0,0,0,0
1,3.31668258841571,1,0,0,0,0,0,0,0
1,3.38957671123804,1,0,0,0,0,0,0,0
1,3.46247083406036,1,0,0,0,0,0,0,0
1,3.53536495688268,1,0,0,0,0,0,0,0
1,3.60825907970501,1,0,0,0,0,0,0,0
1,3.68115320252733,1,0,0,0,0,0,0,0
1,3.75404732534965,1,0,0,0,0,0,0,0
1,3.82694144817198,1,0,0,0,0,0,0,0
1,3.8998355709943,1,0,0,0,0,0,0,0
1,3.97272969381662,1,0,0,0,0,0,0,0
1,4.04562381663895,1,0,0,0,0,0,0,0
1,4.11851793946127,1,0,0,0,0,0,0,0
1,4.19141206228359,1,0,0,0,0,0,0,0
1,4.26430618510592,1,0,0,0,0,0,0,0
1,4.33720030792824,1,0,0,0,0,0,0,0
1,4.41009443075056,1,0,0,0,0,0,0,0
